NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1314 Entries & Exits,1213 Entries & Exits,Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources
5131,ABW,Abbey Wood,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 301,145 "," 453,566 "," 886,409 "," 1,641,120 "," 301,145 "," 453,566 "," 886,409 "," 1,641,120 "," 3,282,240 "," 3,175,430 ", -   ,0,0,, 
3813,ABE,Aber,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 49,305 "," 2,777 "," 57,852 "," 109,934 "," 49,305 "," 2,777 "," 57,852 "," 109,934 "," 219,868 "," 209,622 ", -   ,0,0,,
3801,ACY,Abercynon,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 73,734 "," 5,596 "," 46,514 "," 125,844 "," 73,734 "," 5,596 "," 46,514 "," 125,844 "," 251,688 "," 243,948 "," 42,347 ",0,0,,
3982,ABA,Aberdare,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 161,435 "," 14,503 "," 103,058 "," 278,996 "," 161,435 "," 14,503 "," 103,058 "," 278,996 "," 557,992 "," 552,436 ", -   ,0,0,,
8976,ABD,Aberdeen,Scotland,Aberdeen City,Aberdeen City,UKM1,North Eastern Scotland,First ScotRail,,,," 627,879 "," 846,355 "," 325,482 "," 1,799,716 "," 627,879 "," 846,355 "," 325,482 "," 1,799,716 "," 3,599,431 "," 3,338,072 "," 219,085 ",0,0,,
9090,AUR,Aberdour,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,," 17,358 "," 28,109 "," 18,268 "," 63,735 "," 17,358 "," 28,109 "," 18,268 "," 63,735 "," 127,470 "," 124,298 ", -   ,0,0,,
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 11,840 "," 5,160 ", 225 ," 17,225 "," 11,840 "," 5,160 ", 225 ," 17,225 "," 34,450 "," 33,612 ", -   ,0,0,,
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,, 467 , 223 , -   , 690 , 467 , 223 , -   , 690 ," 1,380 "," 1,214 ", -   ,0,0,,
3602,AGV,Abergavenny,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,," 95,501 "," 61,968 "," 37,412 "," 194,881 "," 95,501 "," 61,968 "," 37,412 "," 194,881 "," 389,762 "," 379,396 ", -   ,0,0,,
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 21,228 "," 14,882 "," 4,466 "," 40,576 "," 21,228 "," 14,882 "," 4,466 "," 40,576 "," 81,152 "," 81,476 ", -   ,0,0,,
